episode,reward,epsilon,steps,final_error,abs_final_error,squared_final_error,transaction_cost,S_T,rolling_reward_100,rolling_abs_error_100,rolling_cost_100
1,-0.14031332419448664,0.995,30,-3.7458420174172673,3.7458420174172673,14.031332419448663,1.0831633788188504,112.14408607053815,-0.14031332419448664,3.7458420174172673,1.0831633788188504
2,-0.019658445795167696,0.990025,30,1.4020857960612716,1.4020857960612716,1.9658445795167696,0.8526536710891086,88.57747242810044,-0.07998588499482717,2.5739639067392694,0.9679085249539795
3,-0.5511820606377991,0.985074875,30,-7.424163660896755,7.424163660896755,55.11820606377991,0.9735192424867012,73.60858818117894,-0.2370512768758178,4.190697158125098,0.9697787641315534
4,-3.6513541595419197,0.9801495006250001,30,19.1085168433919,19.1085168433919,365.13541595419196,0.9313120518806108,97.78277724919175,-1.0906269975423433,7.920152079441799,0.9601620860688178
5,-0.3502471931521104,0.9752487531218751,30,5.9181685777959245,5.9181685777959245,35.02471931521104,0.8162703420629974,89.94165346998523,-0.9425510366642967,7.519755379112624,0.9313837372676537
6,-1.0585254289527233,0.9703725093562657,30,10.288466498719444,10.288466498719444,105.85254289527234,1.0814386174929012,103.56792581789509,-0.9618801020457012,7.981207232380427,0.9563928839718616
7,-1.6894611825841428,0.9655206468094844,30,12.997927460115104,12.997927460115104,168.9461182584143,1.0374760331727093,91.03512521007067,-1.0658202564083357,8.697881550628239,0.9679761910005542
8,-0.14133324555363588,0.960693043575437,30,-3.7594314138395433,3.7594314138395433,14.133324555363588,0.9491051916357259,99.48920357823532,-0.9502593800514982,8.080575283529651,0.9656173160799506
9,-0.5860103528211117,0.9558895783575597,30,-7.655131304041177,7.655131304041177,58.60103528211117,1.1011279509293739,94.84654004112407,-0.9097872659147885,8.033303730253154,0.9806740532854421
10,-6.974296460073414,0.9511101304657719,30,-26.408893312809255,26.408893312809255,697.4296460073414,1.2424699033545887,133.2844914817813,-1.5162381853306512,9.870862688508764,1.0068536382923567
11,-0.913635107928829,0.946354579813443,30,9.55842616715131,9.55842616715131,91.36351079288289,1.010716420410053,102.14987623805003,-1.4614560873850309,9.84245936838536,1.0072048003030565
12,-0.14577167643460612,0.9416228069143757,30,3.8180057154829683,3.8180057154829683,14.577167643460612,1.6663012348176383,105.97647819997736,-1.3518157198058287,9.340421563976827,1.0621295031792715
13,-0.38081213933515073,0.9369146928798039,30,-6.170997806960806,6.170997806960806,38.08121393351507,0.8715036627365746,89.96614492433702,-1.2771231366926998,9.096619736514056,1.047465976991372
14,-0.36903993679516794,0.9322301194154049,30,6.074865733455908,6.074865733455908,36.903993679516795,1.3114530824314852,84.52650170174564,-1.2122600509857333,8.880780164867046,1.0663221988085227
15,-0.48207488350272576,0.9275689688183278,30,6.943161264890264,6.943161264890264,48.20748835027258,1.130030987455878,113.28656466040721,-1.1635810398201996,8.75160557153526,1.070569451385013
16,-0.16831152761050752,0.9229311239742362,30,4.1025787940088065,4.1025787940088065,16.831152761050753,0.9553698639935875,90.2013238027343,-1.1013766953070936,8.461041397939857,1.063369477173049
17,-1.007734232504223,0.918316468354365,30,10.038596677346007,10.038596677346007,100.77342325042228,1.2554984687812818,101.40299131579567,-1.0958683151422188,8.55383876731669,1.0746711825617685
18,-0.013357086512619435,0.9137248860125932,30,1.1557286235366604,1.1557286235366604,1.3357086512619436,1.0732291790563613,91.29612085271373,-1.0357288024405744,8.142832648217798,1.0745910712559126
19,-2.52662214762173,0.9091562615825302,30,-15.895351986105027,15.895351986105027,252.66221476217302,0.9136994340691482,77.06320114942905,-1.1141968732395826,8.550859981790811,1.0661230903513461
20,-0.13044589143814014,0.9046104802746175,30,-3.6117293840782168,3.6117293840782168,13.044589143814015,1.230768332700394,82.95366832006322,-1.0650093241495104,8.303903451905182,1.0743553524687983
