algorithm,mean_abs_hedging_error,std_hedging_error,cvar_95_abs_error,mean_transaction_cost,mean_number_of_trades,mean_final_reward
bs_delta,0.3287778825979869,0.36670299470756434,1.1249668607659464,0.2233874620580747,29.7564,-0.5521653446560616
q_learning_reward_variation,1.397640430911966,1.7808434173235959,4.585884071282877,0.2889199547488851,7.6378,-1.686560385660851
q_learning_basic,1.462658096810183,1.8885164110594677,5.012271963945399,0.31867999653092904,8.0136,-1.781338093341112
q_learning_state_variation,2.0314689257935092,2.4342765172607006,6.653890317677617,0.9972943738797225,21.4874,-3.0287632996732317
no_hedge,2.74827099306946,3.5110587176960606,10.149423560617649,0.0,0.0,-2.74827099306946
